RowName,Frame,Timestamp,nose_X,nose_Y,nose_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,left_hip_X,left_hip_Y,left_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,right_knee_X,right_knee_Y,right_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z
137,137,4.724137931034483,0,0,0,31.87,-48.26,32.24,-19.19,-44.3,-9.49,42.36,-34.28,123.64,-27.15,-20.75,-1.94,46.33,-40.5,257.23,-38.55,-4.79,54.12,18.58,1.83,11.48,-13.72,1.88,-11.37,16.69,34.67,-19.65,-17.99,34.66,-17.07,16.6,59.22,-125.06,-20.21,61.09,-86.7
138,138,4.758620689655173,0,0,0,32.37,-48.16,39.17,-19.15,-44.31,-1.12,42.02,-33.07,127.18,-27.12,-20.78,2.01,46.77,-40.55,262.05,-39.81,-4.74,55.2,18.63,1.83,11.43,-13.6,1.88,-11.32,16.84,34.38,-21.24,-17.93,34.65,-19.95,16.67,59.12,-133.34,-20.07,61.03,-94.84
139,139,4.793103448275862,0,0,0,32.61,-48.12,35.99,-19.02,-44.35,-2.19,41.11,-31.04,118.58,-26.98,-20.84,1.93,48.83,-40.5,246.55,-40.77,-4.84,58.29,18.72,1.89,11.38,-13.54,1.95,-11.28,17.05,34.27,-20.76,-17.87,34.65,-18.02,16.81,59.06,-130.1,-19.91,61.01,-89.63
140,140,4.827586206896552,0,0,0,33.1,-47.88,30.85,-18.78,-44.41,-3.55,40.93,-29.49,99.53,-26.59,-20.85,-0.22,52.63,-40.45,216.15,-41.45,-4.98,56.28,18.75,1.96,11.38,-13.5,2.01,-11.27,17.15,34.26,-18.41,-17.8,34.64,-17.07,16.99,59.04,-129.6,-19.74,60.99,-87.77
141,141,4.862068965517241,0,0,0,33.42,-47.67,28.77,-18.39,-44.52,-3.99,40.99,-28.01,92.69,-26.27,-20.86,-0.59,55.75,-38.57,204.76,-42.78,-5.02,57.78,18.8,2.06,11.64,-13.47,2.08,-11.53,17.21,34.26,-17.01,-17.69,34.64,-16.4,17.13,59.03,-126.54,-19.54,60.95,-86.41
142,142,4.896551724137931,0,0,0,33.67,-47.55,28.28,-18.13,-44.59,-4.76,41.07,-26.47,84.58,-26.07,-20.87,-2.57,57.33,-35.83,192.15,-43.74,-5.09,58.66,18.89,2.0,12.11,-13.35,1.97,-12.01,17.23,34.27,-13.07,-17.56,34.54,-12.21,17.28,59.06,-125.03,-19.49,60.95,-85.53
143,143,4.931034482758621,0,0,0,34.25,-47.44,28.21,-18.01,-44.63,-5.01,41.17,-24.77,80.83,-26.03,-20.88,-1.39,59.72,-31.67,185.37,-44.57,-5.43,69.53,19.11,1.83,12.3,-13.23,1.72,-12.21,17.27,34.28,-9.54,-17.44,34.53,-7.27,17.37,59.1,-119.2,-19.46,60.94,-80.75
144,144,4.9655172413793105,0,0,0,34.38,-47.43,23.55,-18.0,-44.7,-7.0,41.23,-23.75,70.84,-26.32,-20.81,0.64,63.91,-29.04,173.65,-47.3,-5.51,79.79,19.32,1.72,12.27,-13.23,1.63,-12.17,17.29,34.29,-8.46,-17.33,34.53,-7.27,17.4,59.13,-119.25,-19.36,60.94,-83.69
145,145,5.0,0,0,0,34.58,-47.39,16.66,-18.04,-44.73,-9.35,41.57,-23.63,61.7,-27.28,-20.61,5.4,66.73,-26.47,160.63,-49.27,-6.28,86.45,19.43,1.69,11.48,-13.24,1.59,-11.38,17.34,34.3,-9.17,-17.25,34.48,-1.48,17.45,59.13,-118.69,-19.35,60.94,-70.07
146,146,5.0344827586206895,0,0,0,34.92,-47.39,19.18,-18.11,-44.77,-9.22,42.09,-23.75,68.24,-28.36,-20.5,8.45,68.09,-24.71,167.46,-51.95,-6.77,89.74,19.53,1.64,11.52,-13.26,1.56,-11.42,17.36,34.3,-8.25,-17.2,34.47,-3.45,17.46,59.14,-116.07,-19.34,60.93,-73.08
147,147,5.068965517241379,0,0,0,35.18,-47.35,20.42,-18.24,-44.8,-5.22,42.7,-23.97,67.73,-29.22,-20.55,17.78,70.13,-22.89,165.28,-52.6,-8.24,101.3,19.72,1.64,11.24,-13.3,1.59,-11.13,17.37,34.28,-8.85,-17.21,34.49,-3.02,17.44,59.14,-114.92,-19.35,60.93,-71.57
148,148,5.103448275862069,0,0,0,35.26,-47.29,21.57,-18.33,-44.83,-0.16,44.12,-23.85,66.76,-30.68,-20.56,21.56,71.43,-21.72,160.35,-56.15,-8.7,102.3,19.83,1.68,10.67,-13.33,1.64,-10.55,17.39,34.27,-9.45,-17.25,34.5,0.33,17.31,59.12,-115.04,-19.43,60.93,-66.56
149,149,5.137931034482759,0,0,0,35.34,-47.22,22.15,-18.36,-44.89,1.87,45.16,-23.79,63.41,-31.63,-20.64,23.98,72.13,-20.79,149.44,-58.36,-8.99,99.97,19.83,1.75,10.21,-13.43,1.7,-10.08,17.38,34.27,-9.6,-17.35,34.51,0.7,17.18,59.11,-107.45,-19.55,60.92,-61.0
150,150,5.172413793103448,0,0,0,35.35,-47.15,22.33,-18.67,-44.91,1.11,45.59,-23.68,61.54,-32.28,-20.71,23.16,72.16,-20.39,149.09,-58.88,-9.31,99.82,19.8,1.86,9.73,-13.61,1.74,-9.61,17.29,34.6,-9.73,-17.41,34.54,1.01,17.08,59.12,-109.68,-19.74,60.93,-60.96
151,151,5.206896551724138,0,0,0,35.34,-47.09,22.07,-18.99,-44.98,0.3,45.53,-23.62,59.12,-32.65,-20.87,20.89,71.7,-19.97,143.65,-59.74,-9.55,95.68,19.73,1.87,9.38,-13.81,1.73,-9.24,17.2,34.63,-9.9,-17.48,34.56,2.67,16.96,59.12,-104.66,-19.86,60.92,-58.01
152,152,5.241379310344827,0,0,0,35.33,-47.04,19.93,-19.32,-45.03,-0.22,45.57,-23.43,55.73,-32.85,-21.04,19.86,71.54,-19.93,139.7,-60.07,-9.79,93.83,19.69,1.87,8.84,-13.96,1.73,-8.71,17.09,34.64,-10.03,-17.53,34.56,3.4,16.83,59.12,-104.68,-20.02,60.92,-58.36
153,153,5.275862068965517,0,0,0,35.13,-47.02,18.63,-20.24,-45.04,-0.28,45.56,-23.45,54.36,-33.2,-21.06,19.07,70.98,-19.52,139.57,-60.57,-9.84,93.1,19.53,1.91,8.61,-14.37,1.72,-8.48,16.8,34.98,-9.9,-17.69,34.52,3.03,16.68,59.16,-106.3,-20.31,60.92,-60.58
154,154,5.310344827586207,0,0,0,34.45,-47.03,16.43,-21.09,-45.07,-6.41,45.15,-23.56,54.0,-33.45,-21.09,15.14,70.63,-19.44,140.04,-60.69,-9.87,87.66,19.16,1.91,8.62,-14.91,1.71,-8.49,16.58,35.1,-7.57,-18.09,34.43,2.52,16.45,59.16,-103.73,-20.6,60.89,-60.67
155,155,5.344827586206897,0,0,0,33.53,-47.03,16.08,-21.85,-45.08,-8.02,44.15,-23.61,55.79,-33.75,-21.1,13.88,70.41,-19.39,145.31,-61.15,-9.79,87.39,18.83,1.9,8.66,-15.33,1.7,-8.53,16.35,35.11,-7.17,-18.4,34.36,2.78,16.23,59.11,-104.5,-20.78,60.84,-61.55
156,156,5.379310344827586,0,0,0,32.3,-47.07,16.7,-22.87,-45.08,-8.38,43.01,-23.56,55.85,-34.04,-21.1,13.49,70.25,-19.37,143.48,-61.06,-9.74,87.42,18.16,1.9,8.71,-15.95,1.7,-8.58,15.96,35.25,-6.56,-18.87,34.36,2.49,16.05,59.11,-105.19,-21.05,60.83,-63.47
157,157,5.413793103448276,0,0,0,31.55,-47.07,14.68,-23.72,-45.09,-7.99,42.21,-23.32,52.49,-34.28,-21.12,13.97,69.48,-19.26,141.17,-60.78,-9.82,91.23,17.47,1.99,8.66,-16.64,1.78,-8.53,15.67,35.54,-6.88,-19.48,34.48,2.46,15.88,59.11,-112.64,-21.28,60.86,-64.67
158,158,5.448275862068965,0,0,0,30.33,-47.09,14.56,-24.82,-45.1,-8.37,41.57,-23.22,51.01,-34.63,-21.13,11.34,68.68,-19.3,135.41,-60.76,-9.88,84.45,16.36,2.07,8.84,-17.61,1.84,-8.71,15.28,35.64,-6.84,-20.19,34.5,2.36,15.66,59.08,-108.58,-21.56,60.86,-62.69
159,159,5.482758620689655,0,0,0,28.65,-47.13,14.47,-26.14,-45.1,-11.14,40.76,-23.22,52.74,-35.62,-21.12,6.11,66.3,-19.11,139.69,-61.02,-10.1,80.73,15.16,2.07,9.59,-18.92,1.84,-9.46,14.51,35.74,-2.09,-21.1,34.51,2.3,15.37,59.06,-104.16,-21.97,60.89,-65.79
160,160,5.517241379310345,0,0,0,26.15,-47.15,11.26,-28.55,-45.1,-13.55,38.95,-23.24,46.36,-37.85,-21.16,1.81,60.91,-18.48,129.0,-64.38,-10.22,71.88,13.21,2.07,10.0,-20.64,1.92,-9.86,13.29,35.75,-0.85,-22.31,34.73,1.98,15.07,59.05,-91.67,-22.34,60.97,-61.9
161,161,5.551724137931035,0,0,0,23.77,-47.17,10.78,-31.12,-45.03,-17.16,37.34,-23.24,47.31,-39.97,-21.16,-0.29,58.32,-18.77,132.42,-66.46,-10.81,70.12,11.64,2.21,10.48,-22.51,2.43,-10.33,12.59,35.75,-1.97,-23.56,35.13,0.78,14.72,59.04,-94.06,-22.61,61.07,-60.88
162,162,5.586206896551724,0,0,0,21.01,-47.18,11.6,-34.35,-44.87,-17.18,36.07,-23.27,49.03,-42.81,-21.06,2.2,53.72,-20.25,135.34,-69.76,-11.71,73.23,9.38,2.41,10.91,-24.55,3.01,-10.76,12.04,35.83,-2.61,-24.72,35.59,-4.06,14.44,59.08,-88.54,-23.06,61.16,-61.19
163,163,5.620689655172414,0,0,0,18.49,-47.2,22.8,-36.51,-44.76,-8.39,33.09,-23.82,75.55,-44.86,-20.94,25.71,51.21,-20.51,188.95,-72.65,-12.38,126.15,7.81,2.67,10.9,-25.97,3.52,-10.75,11.54,35.86,-9.58,-25.86,35.82,-9.46,14.24,59.06,-121.35,-23.18,61.16,-89.0
164,164,5.655172413793103,0,0,0,15.7,-47.24,36.43,-39.34,-44.76,-8.82,30.2,-23.83,92.98,-46.44,-20.95,21.23,51.45,-20.43,209.56,-76.29,-13.74,129.46,5.89,2.75,14.21,-28.37,3.79,-14.1,10.96,35.97,-9.64,-27.5,35.95,-23.83,14.07,59.02,-140.93,-23.58,61.23,-120.49
165,165,5.689655172413793,0,0,0,13.91,-47.36,39.27,-40.64,-44.76,-9.03,28.16,-23.83,90.72,-48.38,-20.95,19.57,51.41,-20.37,202.28,-77.88,-15.05,127.45,4.16,2.78,15.3,-29.79,3.94,-15.21,10.4,36.04,-7.74,-28.56,35.92,-23.87,14.08,59.02,-133.41,-23.56,61.22,-119.63
166,166,5.724137931034483,0,0,0,12.54,-47.55,51.05,-42.36,-44.87,-9.01,26.57,-23.83,113.55,-50.37,-21.06,27.12,50.04,-20.27,237.41,-79.48,-15.92,149.98,3.36,2.58,17.86,-30.79,3.93,-17.78,9.62,35.32,-5.89,-29.02,35.9,-30.46,14.09,58.8,-135.31,-23.53,61.14,-142.67
167,167,5.758620689655173,0,0,0,11.9,-47.74,47.94,-43.06,-44.95,-10.61,26.07,-23.86,106.31,-50.57,-21.2,25.82,49.91,-20.25,226.17,-79.49,-17.09,150.08,2.39,2.31,18.86,-31.61,3.71,-18.78,8.95,34.79,1.4,-29.04,35.87,-30.98,14.17,58.32,-129.52,-23.01,61.14,-141.23
168,168,5.793103448275862,0,0,0,10.24,-47.88,41.62,-44.47,-44.99,-18.22,24.87,-23.77,95.42,-52.84,-21.25,21.75,49.06,-20.21,206.82,-81.9,-17.89,135.16,1.03,1.86,18.66,-33.02,3.08,-18.58,7.63,33.98,2.1,-29.88,35.78,-25.5,14.17,57.87,-125.54,-22.39,60.81,-127.14
169,169,5.827586206896552,0,0,0,9.29,-47.88,41.39,-45.38,-44.99,-21.9,23.68,-23.5,97.48,-54.22,-21.26,21.81,48.27,-19.55,214.85,-82.5,-18.28,153.59,0.51,1.87,20.67,-33.59,3.02,-20.6,6.06,34.05,6.74,-29.66,35.8,-33.25,14.02,57.9,-125.01,-22.2,60.71,-149.38
170,170,5.862068965517241,0,0,0,8.67,-47.87,54.35,-45.72,-45.0,-18.78,22.6,-23.28,114.61,-55.0,-21.26,28.66,47.75,-18.38,233.73,-83.85,-18.56,159.18,0.16,1.55,23.0,-33.68,2.79,-22.93,3.76,34.1,18.82,-29.55,35.87,-30.29,12.75,59.68,-100.57,-21.99,60.71,-150.74
171,171,5.896551724137931,0,0,0,8.51,-47.87,48.62,-46.08,-44.97,-18.44,22.34,-23.27,104.69,-54.87,-21.26,38.3,47.41,-17.24,220.42,-82.67,-18.56,179.61,0.41,1.27,22.64,-33.26,2.7,-22.56,2.35,34.16,18.19,-29.42,36.16,-29.74,10.97,61.53,-91.69,-20.82,60.67,-147.54
172,172,5.931034482758621,0,0,0,8.67,-47.86,51.63,-46.29,-44.95,-13.69,21.94,-23.15,107.04,-54.97,-21.02,37.26,47.3,-16.18,220.43,-83.54,-18.52,168.01,0.38,1.36,22.9,-33.26,2.76,-22.83,1.62,34.63,14.56,-29.22,36.66,-35.0,8.26,63.66,-98.17,-19.42,60.49,-158.4
173,173,5.9655172413793105,0,0,0,9.21,-47.79,48.48,-45.78,-44.97,-18.65,22.17,-23.16,104.17,-54.56,-20.98,27.8,47.24,-15.25,216.44,-84.45,-18.4,161.13,0.12,1.47,23.62,-33.36,2.8,-23.54,0.12,34.85,24.33,-29.15,36.81,-32.32,5.78,65.64,-73.28,-19.02,60.68,-152.84
174,174,6.0,0,0,0,9.66,-47.72,50.57,-45.36,-45.0,-11.98,22.66,-22.94,104.88,-54.15,-20.91,40.06,47.43,-14.61,217.33,-83.65,-18.3,176.96,0.09,1.96,24.22,-33.1,2.99,-24.13,-2.25,36.69,30.23,-29.02,37.06,-42.71,3.07,68.43,-53.37,-18.79,61.07,-167.14
175,175,6.0344827586206895,0,0,0,10.19,-47.71,53.35,-45.16,-45.02,-5.25,23.02,-22.8,104.76,-53.71,-20.75,46.51,47.65,-13.55,215.78,-81.05,-18.16,182.36,0.06,2.6,25.49,-32.97,3.44,-25.39,-4.31,38.32,39.45,-28.61,37.46,-44.38,0.88,71.02,-27.53,-18.07,61.39,-164.91
176,176,6.068965517241379,0,0,0,11.81,-47.71,72.09,-43.81,-45.01,5.02,23.86,-22.83,124.51,-53.31,-20.64,49.0,48.45,-12.44,238.33,-80.38,-17.85,181.92,0.24,3.35,28.9,-32.44,3.94,-28.79,-5.39,39.46,42.19,-27.79,37.97,-58.63,-1.07,72.45,-31.23,-16.89,61.49,-191.24
177,177,6.103448275862069,0,0,0,14.52,-47.7,84.44,-40.98,-45.0,5.59,26.62,-22.76,136.16,-50.74,-20.34,48.03,50.26,-11.51,245.26,-76.54,-16.88,181.17,0.29,4.36,35.22,-30.96,4.6,-35.09,-5.35,40.15,48.51,-26.71,38.25,-93.09,-3.92,73.69,-29.14,-16.13,61.54,-235.81
178,178,6.137931034482759,0,0,0,17.49,-47.69,93.54,-38.0,-44.95,12.94,29.74,-22.76,137.94,-48.44,-19.94,46.92,52.79,-10.3,242.13,-74.66,-15.83,174.62,1.11,4.51,35.74,-28.87,4.58,-35.6,-4.75,40.6,49.57,-24.59,38.46,-88.15,-3.81,74.64,-23.71,-14.12,61.88,-230.47
179,179,6.172413793103448,0,0,0,21.41,-47.69,98.99,-34.82,-44.95,19.35,33.25,-22.56,140.41,-45.64,-19.76,54.54,55.45,-8.09,240.82,-70.99,-14.76,184.51,2.33,4.84,35.17,-26.77,4.57,-35.03,-4.16,41.48,47.38,-22.71,39.37,-81.75,-3.96,75.59,-29.2,-12.72,62.59,-222.65
180,180,6.206896551724138,0,0,0,24.61,-47.69,104.69,-31.72,-45.05,31.06,36.6,-22.18,140.18,-43.03,-19.73,60.75,58.51,-5.57,236.39,-70.11,-12.96,184.18,4.78,4.76,34.35,-24.17,4.52,-34.21,-3.4,41.05,46.65,-20.73,39.39,-80.34,-2.91,75.51,-24.53,-10.66,62.53,-221.66
181,181,6.241379310344827,0,0,0,27.63,-47.68,92.11,-28.03,-45.27,25.78,40.35,-21.72,119.22,-38.84,-19.74,32.41,61.12,-3.42,206.28,-66.65,-11.57,141.63,6.77,4.91,33.39,-21.99,4.68,-33.26,-1.84,41.63,43.5,-18.34,40.49,-72.11,-2.25,75.88,-35.16,-6.4,63.17,-208.76
182,182,6.275862068965517,0,0,0,30.23,-47.83,89.07,-25.52,-45.74,18.03,42.53,-21.38,108.45,-36.06,-19.76,35.31,63.01,-0.98,193.57,-63.56,-10.37,144.72,9.39,4.96,32.18,-19.82,4.75,-32.03,1.04,41.75,44.79,-17.73,41.25,-48.45,-1.84,76.07,-27.58,-5.97,64.35,-178.79
183,183,6.310344827586207,0,0,0,33.17,-48.41,84.46,-22.5,-46.28,20.74,44.32,-21.35,105.55,-33.41,-19.77,36.37,64.16,0.35,181.45,-61.12,-8.96,137.94,12.61,4.93,29.63,-17.19,4.72,-29.45,4.13,41.7,44.63,-17.47,40.93,-50.85,0.63,75.63,-29.53,-6.11,63.47,-180.33
184,184,6.344827586206897,0,0,0,36.44,-48.87,73.31,-19.11,-46.68,14.61,46.43,-21.28,97.89,-30.79,-19.78,29.4,64.7,0.78,174.23,-58.5,-7.97,122.0,15.83,4.91,28.48,-14.88,4.49,-28.3,7.82,41.57,43.43,-17.46,40.89,-48.5,4.47,75.27,-23.97,-5.4,62.64,-178.06
185,185,6.379310344827586,0,0,0,39.43,-49.11,54.48,-16.01,-46.95,-1.06,48.74,-21.14,80.0,-28.01,-19.79,11.89,65.63,1.41,148.42,-56.08,-6.75,90.2,18.13,5.07,26.54,-12.88,4.49,-26.36,9.95,42.13,39.23,-16.57,40.75,-34.74,7.14,75.64,-25.64,-3.92,62.61,-145.53
186,186,6.413793103448276,0,0,0,42.11,-49.46,47.63,-13.28,-47.08,-14.92,50.39,-21.12,76.27,-24.83,-19.76,-3.06,66.03,1.57,153.2,-52.63,-6.41,84.06,21.05,5.16,26.36,-11.13,4.41,-26.19,12.35,42.55,43.84,-17.02,40.45,-11.82,9.98,75.44,-31.05,-3.39,61.31,-147.45
187,187,6.448275862068965,0,0,0,44.51,-49.76,39.67,-10.84,-47.05,-26.6,52.38,-21.14,73.8,-22.07,-19.71,-14.51,67.31,1.61,155.39,-48.94,-6.35,71.17,23.59,5.31,26.45,-9.22,4.4,-26.29,14.32,42.68,43.94,-17.09,39.3,1.8,11.76,75.57,-32.6,-2.11,61.04,-125.91
188,188,6.482758620689655,0,0,0,47.45,-50.09,38.69,-8.2,-47.1,-26.08,55.0,-21.32,74.53,-19.57,-19.7,-13.96,69.11,0.88,158.34,-46.83,-5.95,68.77,26.07,5.3,26.32,-6.99,4.31,-26.16,16.65,42.81,43.27,-16.53,38.9,3.5,14.4,75.85,-33.26,-0.06,60.87,-124.47
189,189,6.517241379310345,0,0,0,49.69,-50.36,41.45,-5.71,-47.22,-34.39,57.66,-21.98,79.85,-17.29,-19.67,-23.7,71.09,0.26,166.21,-44.02,-5.8,63.18,28.28,5.29,27.46,-5.09,4.25,-27.31,18.91,42.7,49.25,-15.38,38.67,7.26,16.64,75.75,-30.88,2.42,60.91,-123.16
190,190,6.551724137931035,0,0,0,51.86,-50.5,40.15,-3.37,-47.36,-34.66,59.76,-22.25,79.94,-15.63,-19.66,-24.24,73.59,-0.07,168.08,-42.85,-5.45,63.06,30.24,5.35,27.55,-3.29,4.25,-27.4,21.06,42.7,47.59,-13.42,38.63,9.77,19.19,75.79,-34.89,4.3,60.93,-120.91
191,191,6.586206896551724,0,0,0,53.91,-50.64,40.66,-1.64,-47.36,-36.63,61.98,-22.6,82.67,-13.62,-19.66,-26.46,75.41,-0.36,171.21,-40.75,-5.54,56.23,31.73,5.69,28.2,-1.78,4.32,-28.05,22.43,42.88,46.79,-11.64,38.54,9.89,20.82,75.97,-28.86,5.7,60.95,-106.18
192,192,6.620689655172414,0,0,0,55.62,-50.72,38.51,0.21,-47.35,-36.6,63.83,-22.84,83.9,-11.19,-19.81,-25.46,77.48,-1.1,173.66,-36.43,-5.82,54.69,32.68,5.79,28.16,-0.47,4.32,-28.02,24.53,42.97,46.39,-9.96,38.35,3.93,22.42,75.98,-20.7,6.35,60.73,-106.74
193,193,6.655172413793103,0,0,0,57.7,-50.68,38.02,1.93,-47.34,-34.72,65.46,-22.92,84.1,-9.71,-19.84,-24.74,79.39,-1.45,174.08,-35.73,-5.3,51.84,34.42,5.9,28.17,0.88,4.33,-28.02,25.5,42.92,46.11,-7.92,37.85,4.15,24.03,75.94,-20.64,7.76,60.53,-100.84
194,194,6.689655172413793,0,0,0,59.21,-50.66,40.26,2.97,-47.26,-32.63,67.46,-23.0,84.68,-8.28,-19.84,-19.94,81.22,-1.67,177.21,-34.4,-4.51,58.01,36.02,6.1,28.03,2.63,4.38,-27.88,26.83,42.91,45.93,-6.35,37.8,3.42,25.21,75.91,-22.45,8.86,60.41,-103.47
195,195,6.724137931034483,0,0,0,60.54,-50.63,39.78,4.05,-47.2,-32.43,68.74,-22.98,84.66,-7.15,-19.76,-18.57,82.52,-1.78,176.44,-33.59,-3.69,53.68,37.47,6.22,27.73,3.92,4.44,-27.58,27.96,43.0,43.2,-5.31,38.05,1.8,26.13,75.9,-22.23,11.06,60.75,-98.43
196,196,6.758620689655173,0,0,0,61.59,-50.6,36.04,5.01,-46.82,-33.29,69.46,-22.98,80.6,-5.4,-19.48,-27.91,82.87,-1.79,170.23,-30.94,-3.43,42.06,38.58,6.42,27.7,4.88,4.58,-27.55,29.55,43.18,41.65,-3.87,38.09,1.1,26.88,75.9,-25.24,12.01,61.16,-105.04
197,197,6.793103448275862,0,0,0,61.61,-50.42,37.26,5.19,-46.61,-25.43,69.38,-22.77,81.18,-4.96,-19.36,-18.13,82.94,-1.68,176.77,-29.91,-3.13,59.05,39.42,6.48,26.92,5.84,4.65,-26.77,30.24,43.19,38.5,-3.35,37.96,-9.61,27.07,75.95,-35.61,11.93,61.21,-121.2
198,198,6.827586206896552,0,0,0,62.27,-49.84,36.83,5.94,-46.25,-26.13,69.85,-21.98,78.09,-3.64,-19.34,-20.09,83.16,-0.32,169.49,-26.75,-3.29,58.63,39.8,6.7,25.87,6.46,4.81,-25.72,31.29,43.38,33.21,-3.25,37.56,-3.85,27.76,76.03,-41.95,11.86,61.19,-118.5
199,199,6.862068965517241,0,0,0,63.55,-49.11,35.6,6.59,-45.93,-27.0,69.96,-20.81,75.21,-3.09,-19.27,-19.67,83.33,1.64,162.41,-26.36,-2.98,59.76,40.29,7.02,25.7,6.93,5.21,-25.55,32.16,43.73,31.28,-2.87,37.92,-3.97,28.53,76.22,-41.31,13.1,61.8,-118.17
200,200,6.896551724137931,0,0,0,64.59,-48.57,36.97,7.19,-45.72,-23.1,70.28,-20.11,76.82,-2.21,-19.19,-17.46,83.44,2.4,164.83,-25.63,-2.9,64.07,40.95,7.01,25.03,7.46,5.24,-24.88,32.85,43.79,29.26,-2.26,38.0,-3.99,29.28,76.37,-45.2,13.7,62.02,-119.09
201,201,6.931034482758621,0,0,0,64.76,-48.27,37.36,7.72,-45.51,-22.94,70.42,-19.85,74.15,-1.9,-19.04,-16.92,83.46,3.06,159.92,-25.6,-2.62,65.24,41.37,7.09,24.24,7.85,5.36,-24.09,33.1,43.96,28.06,-1.41,38.39,-6.18,30.2,76.35,-55.18,14.07,62.01,-124.3
202,202,6.9655172413793105,0,0,0,65.18,-47.96,42.05,8.21,-45.44,-20.24,70.46,-19.41,75.48,-1.72,-18.99,-13.93,83.41,3.65,160.91,-25.62,-2.47,69.69,41.57,7.23,24.34,8.2,5.47,-24.19,32.99,44.05,29.72,-1.07,38.62,-6.72,30.42,76.34,-51.45,14.29,61.52,-129.31
203,203,7.0,0,0,0,65.31,-47.73,42.37,8.51,-45.32,-18.04,70.67,-19.07,76.13,-1.97,-18.97,-10.78,83.77,4.14,159.21,-25.98,-2.27,69.77,41.66,7.49,24.34,8.35,5.7,-24.2,33.13,44.15,30.66,-1.03,38.71,-6.69,30.75,76.33,-49.69,14.34,61.04,-127.89
204,204,7.0344827586206895,0,0,0,65.61,-47.45,48.36,8.49,-45.17,-9.73,71.25,-18.64,79.32,-2.34,-18.8,-2.23,85.19,4.88,160.28,-25.98,-2.2,80.56,41.88,7.69,24.4,8.46,5.89,-24.25,33.42,44.18,31.21,-0.85,38.88,-11.58,30.84,76.33,-47.49,14.39,60.89,-136.02
205,205,7.068965517241379,0,0,0,65.58,-47.35,47.51,8.36,-45.04,-8.74,71.36,-18.45,78.29,-2.55,-18.44,1.34,85.7,4.92,160.65,-26.44,-1.91,83.21,42.01,7.68,23.35,8.47,5.96,-23.2,33.35,44.35,30.81,-0.52,39.11,-11.19,30.92,76.33,-46.79,15.07,60.97,-132.37
206,206,7.103448275862069,0,0,0,65.7,-47.25,46.92,8.43,-45.04,-9.36,71.46,-18.56,78.11,-2.8,-18.4,-1.27,85.86,4.77,160.83,-26.57,-1.91,80.53,41.83,7.69,23.39,8.24,5.96,-23.24,33.28,44.74,31.08,-0.37,39.13,-10.65,30.92,76.33,-48.2,15.47,60.67,-136.71
207,207,7.137931034482759,0,0,0,65.6,-47.19,47.98,8.47,-44.99,-9.45,71.56,-18.64,79.66,-2.85,-18.33,-2.83,86.02,4.54,163.07,-27.33,-1.92,78.71,41.7,7.69,23.46,8.09,5.93,-23.31,33.38,44.89,31.27,-0.33,39.08,-10.42,31.19,76.32,-47.52,15.44,60.46,-136.77
208,208,7.172413793103448,0,0,0,65.51,-47.16,47.87,8.49,-44.97,-7.05,71.59,-18.7,79.75,-2.89,-18.32,-2.3,86.14,4.52,166.02,-28.35,-1.96,79.9,41.61,7.76,22.84,8.0,5.94,-22.69,33.56,45.11,27.02,-0.39,38.9,-9.67,31.25,76.27,-60.1,15.29,60.36,-138.4
209,209,7.206896551724138,0,0,0,65.39,-47.09,37.03,8.57,-44.97,-16.3,71.69,-18.74,71.65,-3.01,-18.33,-12.83,86.58,4.32,157.24,-29.41,-1.98,62.95,41.57,8.0,22.53,7.92,6.1,-22.38,33.69,45.5,20.56,-0.23,38.9,-9.59,31.17,76.26,-66.77,15.27,60.37,-131.04
210,210,7.241379310344827,0,0,0,65.35,-46.9,42.16,8.5,-44.93,-7.14,71.68,-18.77,72.04,-3.6,-18.32,-2.58,87.49,3.45,158.71,-30.03,-2.04,75.36,41.55,7.93,22.56,7.85,6.02,-22.42,33.62,45.43,24.49,-0.3,36.33,-11.62,31.15,76.26,-46.94,14.49,58.0,-146.33
211,211,7.275862068965517,0,0,0,65.23,-46.79,49.3,8.44,-44.87,8.37,71.65,-18.95,72.48,-4.11,-18.28,11.25,87.63,2.29,151.14,-30.59,-2.04,87.48,41.51,7.69,21.07,7.78,5.63,-20.93,33.57,45.19,28.48,-0.4,35.19,-4.94,31.33,76.24,-42.59,13.45,55.58,-155.05
212,212,7.310344827586207,0,0,0,64.71,-46.76,49.26,8.41,-44.75,4.0,71.55,-19.08,71.36,-4.51,-18.26,7.21,88.06,1.35,151.53,-30.99,-2.06,84.21,41.48,7.59,20.49,7.59,5.48,-20.36,33.56,45.17,29.39,-0.28,35.05,-2.87,31.48,76.27,-43.65,13.1,54.92,-155.3
