RowName,Frame,Timestamp,nose_X,nose_Y,nose_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,left_hip_X,left_hip_Y,left_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,right_knee_X,right_knee_Y,right_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z
29,29,1.0,0,0,0,25.98,-34.6,50.2,-10.38,-32.06,-6.69,28.6,-17.11,68.92,-15.94,-14.47,-7.59,14.17,-5.64,107.66,-20.68,-1.48,33.83,22.17,-0.72,17.63,0.09,1.08,-17.53,32.42,20.7,11.85,1.71,23.52,-48.45,45.03,41.49,-26.06,1.19,43.54,-100.58
30,30,1.0344827586206897,0,0,0,26.09,-34.54,50.3,-10.37,-32.01,-3.66,29.2,-16.96,68.82,-15.66,-14.49,-4.49,17.92,-4.28,107.76,-20.34,-1.47,38.76,22.45,-0.71,17.88,0.84,1.16,-17.77,33.22,20.55,12.7,1.67,23.53,-51.77,46.54,41.34,-18.36,0.87,43.54,-103.79
31,31,1.0689655172413792,0,0,0,26.38,-34.32,50.36,-10.27,-31.85,-0.71,31.16,-16.62,64.12,-15.47,-14.44,-1.53,22.84,-3.13,99.16,-20.24,-1.43,40.23,22.82,-0.68,17.88,1.24,1.29,-17.77,34.1,20.53,15.99,1.62,23.54,-52.93,48.27,41.31,-7.68,0.47,43.56,-104.4
32,32,1.103448275862069,0,0,0,26.64,-34.19,47.97,-10.1,-31.71,-1.48,32.35,-16.61,55.7,-15.19,-14.44,-2.28,25.72,-2.64,87.09,-20.15,-1.4,37.88,23.1,-0.65,17.77,1.68,1.38,-17.66,34.5,20.55,15.0,1.55,23.55,-49.66,48.7,41.1,-12.98,0.18,43.58,-103.11
33,33,1.1379310344827587,0,0,0,27.49,-33.96,48.52,-9.38,-31.52,5.75,33.48,-16.53,55.53,-14.65,-14.45,3.3,29.48,-2.12,87.08,-19.98,-1.54,43.02,23.23,-0.64,17.02,1.92,1.38,-16.91,35.0,20.59,11.61,1.53,23.55,-49.98,49.89,40.98,-18.28,-0.04,43.55,-103.59
34,34,1.1724137931034482,0,0,0,29.0,-33.78,52.88,-8.88,-31.37,17.39,35.25,-16.54,57.84,-14.04,-14.45,19.94,33.95,-2.16,88.51,-19.78,-1.66,65.66,24.02,-0.58,14.59,2.22,1.39,-14.48,36.09,20.64,0.28,1.52,23.55,-49.29,50.35,40.65,-46.72,-0.25,43.52,-102.18
35,35,1.206896551724138,0,0,0,30.48,-33.63,55.8,-8.07,-31.2,23.26,37.35,-16.54,59.03,-13.55,-14.35,28.93,37.84,-2.12,93.34,-19.6,-1.69,78.48,24.93,-0.49,13.33,2.71,1.43,-13.23,37.0,21.0,-2.84,1.51,23.6,-50.22,51.01,40.8,-51.38,-0.53,43.51,-109.21
36,36,1.2413793103448276,0,0,0,31.96,-33.43,55.33,-6.84,-31.13,23.18,39.25,-16.53,57.76,-12.99,-14.39,28.74,41.14,-2.2,94.18,-19.05,-1.71,78.08,25.57,-0.19,13.2,2.96,1.52,-13.09,37.36,21.49,-1.73,1.46,23.62,-53.91,50.94,40.91,-50.5,-0.73,43.48,-113.4
37,37,1.2758620689655173,0,0,0,33.45,-33.25,57.08,-5.95,-30.98,27.62,41.46,-16.46,58.13,-12.52,-14.39,33.84,43.11,-2.25,93.08,-18.08,-1.72,83.99,26.02,0.06,12.92,3.19,1.54,-12.81,37.49,21.8,-2.75,1.42,23.63,-55.97,50.5,40.93,-53.82,-0.94,43.44,-117.07
38,38,1.3103448275862069,0,0,0,34.61,-33.22,50.72,-4.32,-30.91,21.61,42.9,-16.43,47.1,-11.71,-14.67,26.39,44.43,-2.16,77.57,-16.5,-2.0,75.0,26.91,0.45,12.55,3.61,1.64,-12.45,37.94,22.2,-6.4,1.38,23.64,-55.25,50.09,41.02,-64.41,-1.29,43.4,-116.0
